h3,counts,min_depth,max_depth,salinity,min_salinity,max_salinity,temperature,min_temperature,max_temperature,oxygen,min_oxygen,max_oxygen,latitude,longitude
84de481ffffffff,3,1242.0,1563.0,,,,,,,,,,-46.94106,-59.23729
84de489ffffffff,2,779.0,934.0,,,,,,,,,,-47.15643,-59.69475
84de48bffffffff,6,863.0,1241.0,,,,,,,,,,-46.82263,-59.75102
84de491ffffffff,1,748.0,748.0,,,,,,,,,,-46.16166,-59.86039
84de493ffffffff,7,761.0,1038.0,,,,,,,,,,-45.8345,-59.91355
84de495ffffffff,2,849.0,849.0,,,,,,,,,,-46.27851,-59.35678
84de499ffffffff,2,158.0,158.0,,,,,,,,,,-46.37163,-60.31064
84de4c3ffffffff,4,461.0,757.0,,,,,,,,,,-47.37057,-60.15721
84de4d1ffffffff,2,310.0,310.0,,,,,,,,,,-46.91251,-60.71955
84de4d5ffffffff,2,798.0,817.0,,,,,,,,,,-47.03537,-60.20934
84de4d9ffffffff,1,135.0,135.0,,,,,,,,,,-47.12133,-61.18347
84de4ddffffffff,2,426.0,426.0,,,,,,,,,,-47.24685,-60.67258
84de505ffffffff,2,1498.0,1498.0,,,,,,,,,,-50.23443,-54.19145
84de569ffffffff,4,1515.0,1515.0,,,,,,,,,,-51.19635,-54.4279
84de5c9ffffffff,1,780.0,780.0,,,,,,,,,,-48.7575,-56.79807
84de601ffffffff,1,157.0,157.0,,,,,,,,,,-50.87392,-62.31787
84de605ffffffff,1,180.0,180.0,,,,,,,,,,-51.01654,-61.75417
84de697ffffffff,2,119.0,123.0,,,,,,,,,,-47.40228,-62.63319
84de6b3ffffffff,1,131.0,131.0,,,,,,,,,,-47.3288,-61.65225
84de6c7ffffffff,2,144.0,144.0,,,,,,,,,,-48.97091,-63.01239
84de721ffffffff,16,600.0,859.0,,,,,,,,,,-51.82917,-56.52904
84de741ffffffff,1,108.0,108.0,,,,,,,,,,-52.66166,-59.23327
84de74dffffffff,18,549.0,573.0,,,,,,,,,,-53.03159,-59.16037
84de805ffffffff,6,202.0,221.0,,,,,,,,,,-54.14436,-38.94915
84de807ffffffff,5,323.0,370.0,,,,,,,,,,-53.79509,-39.25684
84de80dffffffff,75,206.0,673.0,,,,,,,,,,-54.46896,-39.35271
84de819ffffffff,6,197.0,197.0,,,,,,,,,,-53.69661,-41.35772
84de81dffffffff,1,177.0,177.0,,,,,,,,,,-53.73349,-40.65914
84de821ffffffff,16,95.0,147.0,,,,,,,,,,-53.84035,-37.84903
84de823ffffffff,24,123.0,1433.0,,,,,,,,,,-53.49529,-38.16561
84de825ffffffff,3,113.0,200.0,,,,,,,,,,-53.8568,-37.14358
84de827ffffffff,7,310.0,310.0,,,,,,,,,,-53.5135,-37.46777
84de829ffffffff,4,174.0,202.0,,,,,,,,,,-54.16737,-38.23795
84de82bffffffff,1,139.0,139.0,,,,,,,,,,-53.81978,-38.55352
84de82dffffffff,4,68.0,80.0,,,,,,,,,,-54.1862,-37.52564
84de841ffffffff,6,2963.0,2963.0,,,,,,,,,,-55.11791,-40.18437
84de861ffffffff,27,182.0,2288.0,,,,,,,,,,-54.84543,-38.31336
84de863ffffffff,27,226.0,285.0,,,,,,,,,,-54.49449,-38.63473
84de865ffffffff,20,225.0,498.0,,,,,,,,,,-54.86491,-37.58598
84de867ffffffff,3,185.0,185.0,,,,,,,,,,-54.51577,-37.9155
84de891ffffffff,4,1356.0,1513.0,,,,,,,,,,-50.95636,-42.78239
84de8a3ffffffff,1,3774.0,3774.0,,,,,,,,,,-51.10657,-40.20668
84de909ffffffff,7,581.0,581.0,,,,,,,,,,-54.55814,-35.03067
84de919ffffffff,3,195.0,195.0,,,,,,,,,,-53.86912,-36.43738
84de91bffffffff,12,242.0,2077.0,,,,,,,,,,-53.52764,-36.7691
84de91dffffffff,1,274.0,274.0,,,,,,,,,,-53.87729,-35.73065
84de92bffffffff,2,2691.0,2691.0,,,,,,,,,,-53.87687,-33.60942
84de937ffffffff,2,2837.0,2837.0,,,,,,,,,,-52.87583,-33.98469
84de941ffffffff,3,113.0,224.0,,,,,,,,,,-55.24096,-35.03804
84de943ffffffff,1,119.0,119.0,,,,,,,,,,-54.89724,-35.39916
84de947ffffffff,4,262.0,976.0,,,,,,,,,,-54.89928,-34.66944
84de949ffffffff,7,213.0,438.0,,,,,,,,,,-55.58296,-35.41463
84de94bffffffff,1,165.0,165.0,,,,,,,,,,-55.23666,-35.77552
84de953ffffffff,4,114.0,137.0,,,,,,,,,,-54.20083,-36.81246
84de955ffffffff,1,240.0,240.0,,,,,,,,,,-54.55398,-35.75261
84de959ffffffff,1,230.0,230.0,,,,,,,,,,-54.88005,-36.85766
84de95bffffffff,5,109.0,245.0,,,,,,,,,,-54.53279,-37.19526
